model type,cnnlstm
epochs,100
num lstm cells,201
cnn feature maps,32
cnn kernel size,"(8, 4)"
cnn maxpooling pool size,"(3, 3)"
optimizer,sgd
num training data,1760
label 0.0 representation in training,123
label 3.0 representation in training,124
label 2.0 representation in training,122
label 1.0 representation in training,122
label 3.0 representation in validation,18
label 2.0 representation in validation,18
label 0.0 representation in validation,18
label 1.0 representation in validation,17
loss type,sparse_categorical_crossentropy
activation output,softmax
test acc,75.0
test loss,0.75
duration in minutes,0.32
